"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\ljh-design\components\Echarts\AreaChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 14, 10, 287
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 2, 37
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorSiberbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 282, 0, 4, 6, 292
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\FilterSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 22, 5, 215
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\FontSizeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 2, 39
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 2, 62
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 3, 45
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSiderbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 4, 141
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 4, 1, 209
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ShapeSidle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ShapeTool.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 2, 80
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\SiderBarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\StokeWidth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 2, 47
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\TextSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 3, 59
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ToolSiberbarClose.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ToolSiderbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 3, 36
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Tools.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 392, 0, 3, 4, 399
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\TryEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 14, 7, 295
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\UserImageBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 1, 70
"f:\study\design\canvas\apps\ljh-design\components\Sign\LoginProtect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"f:\study\design\canvas\apps\ljh-design\components\Sign\Protect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 37
"f:\study\design\canvas\apps\ljh-design\components\Sign\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 1, 5, 190
"f:\study\design\canvas\apps\ljh-design\components\Try\TryBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
"f:\study\design\canvas\apps\ljh-design\components\Try\TryCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\components\Try\TryMain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 4, 103
"f:\study\design\canvas\apps\ljh-design\components\Try\TrySider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 3, 44
"f:\study\design\canvas\apps\ljh-design\components\Try\TryUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\study\design\canvas\apps\ljh-design\components\shadui-Components\Tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 3, 2, 45
"f:\study\design\canvas\apps\ljh-design\components\ui\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"f:\study\design\canvas\apps\ljh-design\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"f:\study\design\canvas\apps\ljh-design\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 9, 100
"f:\study\design\canvas\apps\ljh-design\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"f:\study\design\canvas\apps\ljh-design\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 1, 13, 144
"f:\study\design\canvas\apps\ljh-design\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 3, 20, 239
"f:\study\design\canvas\apps\ljh-design\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 5, 27
"f:\study\design\canvas\apps\ljh-design\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"f:\study\design\canvas\apps\ljh-design\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 8, 65
"f:\study\design\canvas\apps\ljh-design\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 6, 14, 190
"f:\study\design\canvas\apps\ljh-design\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"f:\study\design\canvas\apps\ljh-design\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"f:\study\design\canvas\apps\ljh-design\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"f:\study\design\canvas\apps\ljh-design\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 11, 145
"f:\study\design\canvas\apps\ljh-design\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 38
"f:\study\design\canvas\apps\ljh-design\database\supbash.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\ljh-design\hook\query\useBoardQuery.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 35, 9, 306
"f:\study\design\canvas\apps\ljh-design\hook\query\useImageQuery.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"f:\study\design\canvas\apps\ljh-design\hook\query\useUserQuery.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 25, 3, 157
"f:\study\design\canvas\apps\ljh-design\hook\useCanvas.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 4, 5, 65
"f:\study\design\canvas\apps\ljh-design\hook\useCanvasEvent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 4, 64
"f:\study\design\canvas\apps\ljh-design\hook\useCliph.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"f:\study\design\canvas\apps\ljh-design\hook\useEcharts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 1, 19
"f:\study\design\canvas\apps\ljh-design\hook\useHistory.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 9, 4, 86
"f:\study\design\canvas\apps\ljh-design\hook\useKeyBoard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 3, 69
"f:\study\design\canvas\apps\ljh-design\hook\useLoding.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 3, 34
"f:\study\design\canvas\apps\ljh-design\hook\useResponse.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 12, 5, 79
"f:\study\design\canvas\apps\ljh-design\hook\useTryData.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"f:\study\design\canvas\apps\ljh-design\hook\useUser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 3, 32
"f:\study\design\canvas\apps\ljh-design\hook\useWindowEvent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"f:\study\design\canvas\apps\ljh-design\lib\font\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"f:\study\design\canvas\apps\ljh-design\lib\sign\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"f:\study\design\canvas\apps\ljh-design\lib\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"f:\study\design\canvas\apps\ljh-design\lib\unsplash.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"f:\study\design\canvas\apps\ljh-design\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 47, 3, 232
"f:\study\design\canvas\apps\ljh-design\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 2, 23
"f:\study\design\canvas\apps\ljh-design\package.json", "JSON", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"f:\study\design\canvas\apps\ljh-design\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"f:\study\design\canvas\apps\ljh-design\server\image\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 14, 1, 42
"f:\study\design\canvas\apps\ljh-design\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\ljh-design\server\supabase\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"f:\study\design\canvas\apps\ljh-design\store\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"f:\study\design\canvas\apps\ljh-design\store\editor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 679, 0, 0, 0, 0, 37, 14, 730
"f:\study\design\canvas\apps\ljh-design\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"f:\study\design\canvas\apps\ljh-design\store\trystore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"f:\study\design\canvas\apps\ljh-design\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 64
"f:\study\design\canvas\apps\ljh-design\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"f:\study\design\canvas\apps\ljh-design\types\Edit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 825, 0, 0, 0, 0, 8, 10, 843
"f:\study\design\canvas\apps\ljh-design\types\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"f:\study\design\canvas\apps\ljh-design\types\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"f:\study\design\canvas\apps\note\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30
"f:\study\design\canvas\apps\note\biome.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"f:\study\design\canvas\apps\note\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\study\design\canvas\apps\note\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"f:\study\design\canvas\apps\note\rsbuild.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"f:\study\design\canvas\apps\note\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"f:\study\design\canvas\apps\note\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\note\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 3, 9
"f:\study\design\canvas\apps\note\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"f:\study\design\canvas\apps\note\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\note\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"f:\study\design\canvas\apps\ws\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"f:\study\design\canvas\apps\ws\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"f:\study\design\canvas\apps\ws\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 83, 14, 115
"f:\study\design\canvas\apps\ws\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 4, 28
"f:\study\design\canvas\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"f:\study\design\canvas\pnpm-lock.yaml", "YAML", 0, 0, 0, 14325, 0, 0, 0, 0, 0, 0, 0, 0, 3552, 17877
"f:\study\design\canvas\pnpm-workspace.yaml", "YAML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"f:\study\design\canvas\turbo.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 454, 123, 58, 14327, 129, 144, 4319, 176, 7, 9970, 20, 697, 4611, 35035
